id,year,set,duration,cluster,title
10468,1991,1,516676,0,Stash
10473,1991,1,387448,0,Brother
10920,1991,3,792947,0,Tweezer
13516,1995,2,255843,0,Big Black Furry Creature from Mars
16673,1997,2,1404891,0,Cities
17041,1997,2,732813,0,Ghost
18108,1998,1,945737,0,Ghost
21611,2003,2,1267357,0,Piper
2700,1994,1,552620,0,Foam
28721,1994,1,531905,0,Julius
30105,2015,2,1372526,0,Kill Devil Falls
30161,2015,2,1561417,0,Tweezer
3257,1994,2,704078,0,Possum
10180,1991,1,357747,0,Chalk Dust Torture
12080,1995,1,435095,0,Down with Disease
16506,1996,3,606642,0,Also Sprach Zarathustra
19215,1999,1,387918,0,After Midnight
2603,1994,2,470047,0,Down with Disease
2734,1994,2,206942,0,Alumni Blues
4933,1994,2,638851,0,Slave to the Traffic Light
7355,1993,2,1131677,0,David Bowie
8410,1997,2,309786,0,Roses Are Free
10037,1991,2,376607,0,Mike's Song
12941,1995,2,730331,0,Theme From the Bottom
13211,1995,1,582191,0,Runaway Jim
13224,1995,2,534857,0,Simple
19252,1999,2,706168,0,Meatstick
21286,2003,2,145816,0,Down with Disease
27619,2013,3,1158949,0,Carini
28051,2013,2,1263595,0,Twist
28811,2014,2,1170913,0,Fuego
3039,1996,1,724036,0,Scent of a Mule
3712,1994,2,914181,0,Split Open and Melt
3798,1994,1,439432,0,NO2
3906,1994,2,663171,0,Possum
3916,1994,1,659017,0,Tweezer
3926,1994,2,677982,0,Weekapaug Groove
7137,1993,2,676101,0,Run Like an Antelope
27545,2013,2,548310,0,Sand
2879,1994,2,1132591,0,You Enjoy Myself
4618,1994,E,327314,0,Fee
488,1987,1,281574,0,Fire
154,1987,1,451657,0,Possum
164,1987,2,380865,0,Wilson
230,1987,1,265639,0,Fire
231,1987,1,446067,0,Skin It Back
232,1987,1,328150,0,Cities
233,1987,1,368039,0,Lushington
234,1987,2,271569,0,Dog Log
311,1987,3,204878,0,Tush
1084,1992,E,299416,0,Fire
210,1987,2,300931,0,Golgi Apparatus
236,1987,2,361143,0,Dave's Energy Guide
238,1987,2,387657,0,Halley's Comet
242,1987,3,534439,0,Fluffhead
246,1987,3,543843,0,Run Like an Antelope
248,1987,3,435461,0,Timber (Jerry)
305,1987,2,213316,0,La Grange
521,1992,1,266109,0,Cavern
525,1992,1,759928,0,Divided Sky
794,1992,1,243775,0,Glide
12966,1995,2,391210,0,Cavern
478,1987,2,210625,0,I Didn't Know
522,1992,1,246518,0,Sparkle
536,1992,2,276558,0,Llama
541,1992,1,352810,0,Brother
546,1992,1,462341,0,Maze
