id,Song,Year,Set,Duration,Cluster
18616,Mike's Song,1998-10-31,1,536216,0
21084,Limb By Limb,2003-11-29,1,569051,0
25642,Undermind,2012-08-31,1,952529,0
28286,Wolfman's Brother,1999-09-24,2,1135804,0
10637,You Enjoy Myself,1991-11-16,2,1210619,0
18623,New Age,1998-10-31,2,518400,0
2680,Foam,1994-04-11,1,606537,0
133,Jam,1986-12-06,2,376607,0
26471,Reba,1995-11-29,1,942132,0
2700,Foam,1994-04-14,1,552620,0
31070,Tweezer,2016-07-15,1,721842,0
13463,Reba,1995-11-24,2,884689,0
16673,Cities,1997-08-10,2,1404891,0
18424,Runaway Jim,1998-08-11,2,2091154,0
21911,You Enjoy Myself,2004-06-20,2,1418867,0
26482,You Enjoy Myself,1995-11-29,2,1138181,0
16672,Harry Hood,1997-08-10,1,877584,0
17326,Wilson,1997-08-13,1,412709,0
18484,Ya Mar,1998-08-16,1,638955,0
18613,Sneakin' Sally Through the Alley,1998-10-31,1,659122,0
18915,(Check) Funky Bitch,1998-11-27,S,831060,0
28728,Reba,1994-04-13,2,985496,0
31072,The Old Home Place,2016-07-15,1,187115,0
85,"Swing Low, Sweet Chariot",1986-10-15,2,110446,0
18449,Simple,1998-08-15,1,716800,0
18972,Catapult > Kung,1998-11-29,1,334916,0
30344,Llama,2015-08-14,1,340454,0
14037,Good Times Bad Times,1990-03-28,1,320549,0
17576,The Curtain,1997-11-28,1,433789,0
17581,Black-Eyed Katy,1997-11-28,1,601574,0
18629,Wolfman's Brother,1998-10-31,3,1821544,0
21680,Piper,2003-07-31,2,1308029,0
21910,Twist,2004-06-20,2,1276291,0
8409,Drowned,1997-12-11,2,1297816,0
12134,You Enjoy Myself,1995-12-04,2,1310772,0
18478,Ambient Jam,1998-08-15,4,3115886,0
4933,Slave to the Traffic Light,1994-11-26,2,638851,0
13320,Maze,1995-11-14,2,768026,0
18480,Bathtub Gin,1998-08-16,1,830198,0
18493,Ghost,1998-08-16,2,1097038,0
19997,Limb By Limb,1999-10-09,2,841848,0
8410,Roses Are Free,1997-12-11,2,309786,0
12494,Runaway Jim,1995-06-16,2,1850932,0
17161,Down with Disease,1997-07-22,2,1230838,0
18676,Simple,1998-11-06,2,783464,0
31073,Wolfman's Brother,2016-07-15,1,583236,0
20903,Piper,2000-09-15,2,1218351,0
3632,Digital Delay Loop Jam,1994-06-14,1,78864,0
12941,Theme From the Bottom,1995-10-13,2,730331,0
17215,Twist,1997-07-29,2,1107278,0
30736,Kill Devil Falls,2009-11-25,1,523755,0
6661,You Enjoy Myself,1993-04-03,2,1630929,0
12557,Contact,1995-06-20,2,379063,0
13163,Split Open and Melt,1995-10-29,1,727536,0
15484,Simple,1996-11-18,2,1011487,0
15609,Reba,1996-07-11,1,713273,0
15639,Run Like an Antelope,1996-07-12,2,432640,0
18673,Split Open and Melt,1998-11-06,1,883304,0
18797,Scent of a Mule,1998-11-15,1,776568,0
20578,Twist,2000-06-14,2,1108715,0
2288,Weekapaug Groove,1992-12-08,2,409104,0
15388,Also Sprach Zarathustra,1996-08-05,2,337345,0
15690,Cars Trucks Buses,1996-07-18,1,138266,0
18757,Wolfman's Brother > Mind Left Body Jam > Wolfman's Brother,1998-11-13,1,818939,0
19096,AC/DC Bag,1999-09-14,2,1632836,0
21376,The Moma Dance,2003-02-26,1,865881,0
25531,Rock and Roll,2012-08-24,2,961515,0
30738,Sugar Shack,2009-11-25,1,369894,0
3871,Split Open and Melt,1994-06-30,1,790178,0
13323,Stash,1995-11-14,2,931187,0
19595,Split Open and Melt,1999-08-01,1,822936,0
19661,Wolfman's Brother,1999-09-11,2,990407,0
28402,Reba,1996-08-17,1,979043,0
4268,Guyute,1994-10-07,1,692193,0
4569,Reba,1994-10-26,2,915696,0
15817,It's Ice,1996-08-12,1,591621,0
28435,Runaway Jim,1996-08-14,2,924813,0
28440,Tweezer,1996-08-14,2,1179716,0
2879,You Enjoy Myself,1994-04-23,2,1132591,0
15841,Slave to the Traffic Light,1996-08-13,1,745482,0
16090,Fee,1996-10-27,1,311484,0
25197,Waves,2012-06-28,2,743993,0
28430,Reba,1996-08-14,1,858697,0
30739,Halley's Comet,2009-11-25,1,343380,0
5993,Fee,1993-03-24,1,313339,0
15641,Jam,1996-07-12,2,47909,0
30741,Sleep Again,2009-11-25,1,322456,0
58,AC/DC Bag,1986-04-15,1,561058,0
59,Dear Mrs. Reagan,1986-04-15,1,285022,0
18421,Fee,1998-08-11,1,521691,0
30742,Ocelot,2009-11-25,1,601887,0
48,Skippy the Wondermouse,1985-10-30,1,932754,0
61,Quinn the Eskimo,1986-04-15,1,346044,0
18175,Wilson,1998-07-25,2,431909,0
30743,Train Song,2009-11-25,1,167628,0
74,Alumni Blues,1986-10-15,1,448392,0
77,Cities,1986-10-15,1,316473,0
80,AC/DC Bag,1986-10-15,1,351530,0
81,You Enjoy Myself,1986-10-15,1,645486,0
154,Possum,1987-02-13,1,451657,0
176,Clod,1987-02-21,2,306051,0
30744,Wilson,2009-11-25,1,303282,0
84,Golgi Apparatus,1986-10-15,2,286981,0
88,Mustang Sally,1986-10-15,2,356206,0
66,Dog Log,1986-04-15,1,275174,0
82,Lushington,1986-10-15,1,352940,0
87,Shaggy Dog,1986-10-15,2,262766,0
89,Fluffhead,1986-10-15,2,560300,0
91,Wilson,1986-10-15,2,118126,0
92,Slave to the Traffic Light,1986-10-15,2,402442,0
93,Quinn the Eskimo,1986-10-15,2,512784,0
126,Fluffhead,1986-12-06,1,719334,0
128,Golgi Apparatus,1986-12-06,2,312686,0
68,You Enjoy Myself,1986-04-15,1,625398,0
96,Harry Hood,1986-10-15,2,567510,0
98,Sanity,1986-10-15,3,323918,0
144,AC/DC Bag,1986-12-06,3,352601,0
145,David Bowie,1986-12-06,3,231941,0
148,You Enjoy Myself,1986-12-06,3,653322,0
149,Dog Log,1986-12-06,3,271543,0
151,Sneakin' Sally Through the Alley,1986-12-06,3,413309,0
135,Back Porch Boogie Blues,1986-12-06,2,405238,0
150,Tush,1986-12-06,3,210965,0
30745,Run Like an Antelope,2009-11-25,1,722651,0
571,Mound,1992-03-11,1,376790,0
30747,Farmhouse,2009-11-25,2,346671,0
30749,You Enjoy Myself,2009-11-25,2,1302230,0
30750,Esther,2009-11-25,2,583680,0
363,Avenu Malkenu,1987-08-29,1,317727,0
6454,Mike's Song,1993-04-18,2,494315,0
30751,Time Turns Elastic,2009-11-25,2,957832,0
348,Bundle of Joy,1987-08-29,2,152007,0
435,Whipping Post,1987-10-31,1,734563,0
437,Back Porch Boogie Blues,1987-10-31,1,259944,0
441,AC/DC Bag,1987-10-31,1,451657,0
446,Avenu Malkenu,1987-10-31,2,208797,0
436,Sneakin' Sally Through the Alley,1987-10-31,1,390949,0
438,Halley's Comet,1987-10-31,1,415687,0
450,Timber (Jerry),1987-10-31,2,502387,0
459,Alumni Blues,1987-10-31,2,272300,0
485,You Enjoy Myself,1987-11-19,1,799112,0
490,Fluffhead,1987-11-19,2,983615,0
521,Cavern,1992-03-06,1,266109,0
525,Divided Sky,1992-03-06,1,759928,0
535,Mound,1992-03-06,2,354011,0
496,Suzy Greenberg,1987-11-19,3,330162,0
497,Possum,1987-11-19,3,317884,0
498,Divided Sky,1987-11-19,3,256392,0
503,Harpua,1987-11-19,3,412056,0
504,Take the 'A' Train,1987-11-19,3,333479,0
505,Camel Walk,1987-11-19,3,292989,0
512,My Mind's Got a Mind of its Own,1992-01-14,1,135053,0
500,Dinner and a Movie,1987-11-19,3,465607,0
530,David Bowie,1992-03-06,1,903314,0
564,Suzy Greenberg,1992-03-11,1,342779,0
567,Reba,1992-03-11,1,736313,0
569,Fee,1992-03-11,1,327158,0
592,Foam,1992-03-12,1,460904,0
30753,Oh! Sweet Nuthin',2009-11-25,E,464692,0
499,Big Black Furry Creature from Mars,1987-11-19,3,197251,0
549,Rift,1992-03-07,1,478851,0
573,Cavern,1992-03-11,1,295027,0
574,Llama,1992-03-11,2,274390,0
586,Rocky Top,1992-03-11,2,157231,0
