id,year,set,duration,cluster
10468,1991,1,516676,0
10473,1991,1,387448,0
10920,1991,3,792947,0
13516,1995,2,255843,0
16673,1997,2,1404891,0
17041,1997,2,732813,0
18108,1998,1,945737,0
21611,2003,2,1267357,0
2700,1994,1,552620,0
28721,1994,1,531905,0
30105,2015,2,1372526,0
30161,2015,2,1561417,0
3257,1994,2,704078,0
10180,1991,1,357747,0
12080,1995,1,435095,0
16506,1996,3,606642,0
19215,1999,1,387918,0
2603,1994,2,470047,0
2734,1994,2,206942,0
4933,1994,2,638851,0
7355,1993,2,1131677,0
8410,1997,2,309786,0
10037,1991,2,376607,0
12941,1995,2,730331,0
13211,1995,1,582191,0
13224,1995,2,534857,0
19252,1999,2,706168,0
21286,2003,2,145816,0
27619,2013,3,1158949,0
28051,2013,2,1263595,0
28811,2014,2,1170913,0
3039,1996,1,724036,0
3712,1994,2,914181,0
3798,1994,1,439432,0
3906,1994,2,663171,0
3916,1994,1,659017,0
3926,1994,2,677982,0
7137,1993,2,676101,0
27545,2013,2,548310,0
2879,1994,2,1132591,0
4618,1994,E,327314,0
488,1987,1,281574,0
154,1987,1,451657,0
164,1987,2,380865,0
230,1987,1,265639,0
231,1987,1,446067,0
232,1987,1,328150,0
233,1987,1,368039,0
234,1987,2,271569,0
311,1987,3,204878,0
1084,1992,E,299416,0
210,1987,2,300931,0
236,1987,2,361143,0
238,1987,2,387657,0
242,1987,3,534439,0
246,1987,3,543843,0
248,1987,3,435461,0
305,1987,2,213316,0
521,1992,1,266109,0
525,1992,1,759928,0
794,1992,1,243775,0
12966,1995,2,391210,0
478,1987,2,210625,0
522,1992,1,246518,0
536,1992,2,276558,0
541,1992,1,352810,0
546,1992,1,462341,0
557,1992,2,446955,0
561,1992,2,157388,0
591,1992,1,450717,0
593,1992,1,267285,0
597,1992,1,136594,0
633,1992,1,230348,0
658,1992,1,498077,0
660,1992,1,235363,0
18107,1998,1,220944,0
539,1992,2,637910,0
603,1992,2,641855,0
605,1992,2,543138,0
606,1992,2,228232,0
607,1992,2,444186,0
608,1992,2,262060,0
610,1992,2,87850,0
611,1992,2,206054,0
613,1992,2,178364,0
616,1992,E,320026,0
617,1992,E,180767,0
670,1992,2,227840,0
696,1992,2,373891,0
789,1992,1,242547,0
805,1992,2,118962,0
2729,1994,2,104281,0
841,1992,1,683781,0
842,1992,1,180036,0
869,1992,1,250070,0
874,1992,1,436454,0
884,1992,2,349205,0
887,1992,2,293799,0
1075,1992,2,244140,0
1089,1992,1,248477,0
1102,1992,2,136908,0
1103,1992,2,274260,0
1282,1992,1,351242,0
28723,1994,1,861205,0
28727,1994,2,296829,0
28729,1994,2,118309,0
5159,1994,2,74449,0
930,1992,1,307226,0
939,1992,2,326713,0
955,1992,E2,311667,0
1152,1992,2,310126,0
1206,1992,2,259187,0
1225,1992,E,158537,0
1232,1992,1,275722,0
1275,1992,2,445257,0
1318,1992,2,392960,0
1328,1992,1,477858,0
1335,1992,2,281757,0
1338,1992,2,133512,0
1341,1992,2,396487,0
1377,1992,1,434286,0
1379,1992,1,230870,0
1381,1992,1,499122,0
1399,1992,1,616568,0
5804,1993,2,231576,0
1344,1992,2,205349,0
1359,1992,2,145136,0
1360,1992,2,319321,0
1362,1992,2,166818,0
1365,1992,2,407275,0
1368,1992,2,276402,0
1373,1992,E,501603,0
1374,1992,E2,230348,0
