id,Song,Year,Set,Duration,Cluster
29724,Avenu Malkenu,1993,2,185835,0
6163,It's Ice,1993,2,482638,0
9309,David Bowie,1991,2,788114,0
3257,Possum,1994,2,704078,0
8484,Gumbo,1991,E,402599,0
17960,The Great Gig in the Sky,1998,2,279641,0
17966,Harpua,1998,2,381100,0
13049,Chalk Dust Torture,1995,1,441992,0
13058,Good Times Bad Times,1995,1,379899,0
2754,You Enjoy Myself > The Vibration of Life > You Enjoy Myself,1994,2,1365107,0
1518,Harry Hood,1992,2,784118,0
3343,Halley's Comet > Llama,1994,1,611918,0
3500,Mike's Song,1994,2,155455,0
19252,Meatstick,1999,2,706168,0
10051,Runaway Jim,1991,1,422217,0
8979,Tweezer > Dave's Energy Guide > Tweezer,1991,1,618371,0
640,Mike's Song,1992,1,427285,0
30409,Jam,2015,S,2809025,0
10335,Fee,1991,1,314854,0
19,In the Midnight Hour,1985,1,316996,0
1938,You Enjoy Myself,1992,1,1041998,0
39,Possum,1985,1,405603,0
40,Slave to the Traffic Light,1985,1,391288,0
53,Drums,1985,1,102165,0
102,Camel Walk,1986,1,388206,0
11,Drums,1984,1,597316,0
38,Dog Log,1985,1,310544,0
44,Alumni Blues,1985,1,282149,0
45,Letter to Jimmy Page,1985,1,69016,0
101,Mustang Sally,1986,1,338599,0
103,Golgi Apparatus,1986,1,300330,0
118,Sanity,1986,2,296281,0
14,Eyes of the World,1984,E,809064,0
42,I Wish,1985,1,420571,0
43,Revival,1985,1,296856,0
47,Prep School Hippie,1985,1,303987,0
107,Halley's Comet,1986,1,282906,0
108,Back Porch Boogie Blues,1986,1,266005,0
109,Shaggy Dog,1986,1,261982,0
110,Fluffhead,1986,1,574720,0
112,AC/DC Bag,1986,2,356049,0
114,Peaches en Regalia,1986,2,212062,0
116,Have Mercy,1986,2,708702,0
117,Harry Hood,1986,2,550478,0
311,Tush,1987,3,204878,0
105,Melt the Guns,1986,1,203285,0
226,Letter to Jimmy Page,1987,1,62798,0
230,Fire,1987,1,265639,0
212,Golgi Apparatus,1987,1,345051,0
213,AC/DC Bag,1987,1,450064,0
214,Possum,1987,1,381048,0
215,Fluffhead,1987,1,577045,0
219,Alumni Blues > Letter to Jimmy Page > Alumni Blues,1987,1,396042,0
221,David Bowie,1987,1,502047,0
222,Dear Mrs. Reagan,1987,1,208039,0
185,Funky Bitch,1987,1,415791,0
186,Good Times Bad Times,1987,1,275226,0
188,Golgi Apparatus,1987,1,318824,0
193,Harry Hood,1987,2,528718,0
194,Tell Me Something Good,1987,2,303726,0
195,Possum,1987,2,497607,0
196,Freeworld,1987,2,219037,0
197,Wilson,1987,2,232803,0
217,Dave's Energy Guide,1987,1,214047,0
291,Golgi Apparatus,1987,1,315977,0
191,Free Bird,1987,2,461714,0
206,Dave's Energy Guide,1987,2,238002,0
276,Golgi Apparatus,1987,1,319060,0
277,Slave to the Traffic Light,1987,1,372506,0
281,Good Times Bad Times,1987,1,299886,0
282,Shaggy Dog,1987,1,219089,0
283,Funky Bitch,1987,1,300826,0
296,Fire,1987,2,298005,0
297,AC/DC Bag,1987,2,464065,0
13062,David Bowie,1995,2,1026926,0
237,Take the 'A' Train,1987,2,222955,0
241,Peaches en Regalia,1987,3,185496,0
242,Fluffhead,1987,3,534439,0
250,Sparks,1987,3,153469,0
255,Who Do? We Do!,1987,3,135576,0
285,Halley's Comet,1987,2,318302,0
